"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
1.93999999999999,-0.368124552684737,0.561026949458058,0.364124504355055,0.178628196646537,1.10377965045965
1.94999999999999,-0.309016994375009,0.470619167981794,0.305521406667093,0.150395672891295,0.926536247540182
1.95999999999999,-0.248689887164916,0.378354589875556,0.245711725097146,0.121570315583452,0.745636630556154
1.96999999999999,-0.187381314585787,0.284597353043337,0.18493151250057,0.0922658616911562,0.561794727235063
1.97999999999999,-0.125333233564368,0.189717486014604,0.123420651824057,0.0625979391864944,0.375736077025155
1.98999999999999,-0.0627905195293773,0.094089447772382,0.0614219094820711,0.0326836107368128,0.188194967991266
1.99999999999999,-6.26623480986677e-14,-0.00190935018895342,-0.000820022792602799,0.00264091169142478,-8.8461290131439e-05
2.00999999999999,0.0627905195292505,-0.0979000332707807,-0.0630594936076582,-0.0274116157357834,-0.188371142614222
2.01999999999999,0.125333233564241,-0.193503759031005,-0.125050861388114,-0.0573553903074447,-0.375910010726564
2.02999999999999,0.187381314585662,-0.288343212304207,-0.186549463815444,-0.0870722597507689,-0.56196493587042
2.03999999999999,0.248689887164794,-0.382044094260793,-0.24731258337567,-0.11644496704575,-0.745801644682213
2.04999999999999,0.309016994374888,-0.474236599673403,-0.307100405296276,-0.145357613209421,-0.9266946181791
2.05999999999999,0.368124552684619,-0.564556876259711,-0.365676963934562,-0.173696114657538,-1.10392995485181
2.06999999999999,0.425779291565015,-0.652648460719235,-0.422811074049704,-0.201348653484194,-1.27680818825313
2.07999999999999,0.481753674101658,-0.738163685481603,-0.478277243196286,-0.228206118721241,-1.44464704739913
2.08999999999999,0.535826794978944,-0.820765050852324,-0.531856561637188,-0.254162537000913,-1.60678414949043
2.09999999999999,0.587785252292422,-0.900126556896348,-0.58333756623994,-0.279115490731352,-1.76257961386764
2.10999999999999,0.63742398974864,-0.975934990072151,-0.632517075070731,-0.302966522327775,-1.91141858747066
2.11999999999999,0.684547105928641,-1.04789115927437,-0.679200989232274,-0.325621522770272,-2.05271367127692
2.12999999999999,0.728968627421369,-1.11571107670321,-0.723205058901067,-0.346991103008217,-2.18590723861249
