"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
1.15,0.809016994374947,-0.705579402775509,-0.987149231240512,0.809016994374947
1.16,0.844327925502014,-0.713437257468528,-0.994277708770211,0.844327925502014
1.17,0.876306680043864,-0.718444986039802,-0.997415942124848,0.876306680043864
1.18,0.904827052466019,-0.72058400861331,-0.996553425789989,0.904827052466019
1.19,0.929776485888251,-0.71984703022235,-0.991695385086085,0.929776485888251
1.2,0.951056516295153,-0.716238070878331,-0.982862757623623,0.951056516295153
1.21,0.968583161128631,-0.709772450783759,-0.970092112394743,0.968583161128631
1.22,0.982287250728688,-0.700476730802317,-0.95343550729231,0.982287250728688
1.23,0.992114701314478,-0.688388608700062,-0.932960285044869,0.992114701314478
1.24,0.998026728428272,-0.673556771381146,-0.908748809348612,0.998026728428272
1.25,1,-0.656040703671314,-0.880898141225643,1
1.26,0.998026728428272,-0.635910454430632,-0.84951965739978,0.998026728428272
1.27,0.992114701314478,-0.61324636116649,-0.814738612260302,0.992114701314478
1.28,0.982287250728689,-0.588138733728168,-0.776693645108628,0.982287250728689
1.29,0.968583161128632,-0.5606874987351,-0.735536233962188,0.968583161128632
1.3,0.951056516295154,-0.531001806094505,-0.691430099444262,0.951056516295154
1.31,0.929776485888252,-0.499199599107541,-0.644550559821809,0.929776485888252
1.32,0.90482705246602,-0.465407149589451,-0.595083840187038,0.90482705246602
1.33,0.876306680043864,-0.429758560431344,-0.543226338849114,0.876306680043864
1.34,0.844327925502015,-0.392395237078437,-0.489183853405739,0.844327925502015
1.35,0.809016994374948,-0.353465330121617,-0.433170769500794,0.809016994374948
1.36,0.77051324277579,-0.313123151306378,-0.375409216088104,0.77051324277579
1.37,0.728968627421412,-0.271528565231943,-0.31612818957203,0.728968627421412
1.38,0.68454710592869,-0.228846359075755,-0.255562651349875,0.68454710592869
1.39,0.63742398974869,-0.185245592853066,-0.193952601186355,0.63742398974869
1.4,0.587785252292473,-0.140898932836651,-0.131542131379837,0.587785252292473
1.41,0.535826794978997,-0.0959819707240159,-0.0685784640250989,0.535826794978997
1.42,0.481753674101716,-0.050672531167759,-0.00531097642541652,0.481753674101716
1.43,0.425779291565072,-0.00514997060268312,0.0580097822472477,0.425779291565072
1.44,0.368124552684678,0.0404055301096803,0.121133078967662,0.368124552684678
1.45,0.309016994374948,0.0858136762218734,0.183808985489457,0.309016994374948
1.46,0.248689887164855,0.130894770176977,0.245789363985531,0.248689887164855
1.47,0.187381314585726,0.175470420288436,0.306828845538789,0.187381314585726
1.47999999999999,0.125333233564367,0.219364244294941,0.366685797740156,0.125333233564367
