"Freq [MHz]","load_sweep []","mag(Current(s1)) [A]","mag(Current(s2)) [A]","mag(Current(s3)) [A]"
1,0.159242868221399,1.52783767785621,0.993909731124668,0.475181207994344
1,0.178673436860385,1.52741611904982,0.994026634621108,0.47508460734728
1,0.200474893450909,1.52701842257148,0.994049656176526,0.47496448156552
1,0.22493653007614,1.52637638549294,0.994187268622714,0.474842176371648
1,0.252382937792078,1.52571820006991,0.994223538972267,0.474682987675796
1,0.283178313753655,1.52498509247764,0.994204072400688,0.474462269152971
1,0.317731293889713,1.52402593580449,0.994215416583717,0.474187662334106
1,0.356500375253498,1.52287898114297,0.994061092973555,0.473965268729378
1,0.4,1.52164666541764,0.993728449951858,0.473644523145476
1,0.448807381720786,1.52002603031353,0.993514936515748,0.47310393415667
1,0.503570164717666,1.51782838092925,0.993304291381827,0.472537218591338
1,0.565015017849102,1.51511732169923,0.99322471187254,0.471582153911153
1,0.633957276984444,1.51164196230249,0.993102893627042,0.470512140395409
1,0.711311764015569,1.50740016014329,0.992821308176128,0.469249981731686
1,0.798104925987553,1.50207152405622,0.992809576427047,0.467335254256909
1,0.895488455427335,1.49576057923048,0.992428220682611,0.465115351281479
1,1.00475457260383,1.48757614909789,0.992236968535302,0.46244272512284
1,1.12735317250578,1.47791351326951,0.991514523943344,0.459394150395479
1,1.26491106406735,1.46607995923846,0.990732778175246,0.45561741026645
1,1.4192535569343,1.45147247283534,0.989513380024706,0.451675356741447
1,1.59242868221399,1.43411919270508,0.988761150597284,0.445787588960006
1,1.78673436860385,1.4136095017079,0.987596045178165,0.439170053227794
1,2.00474893450909,1.3895144682342,0.9864169532136,0.431198381793124
1,2.2493653007614,1.36228364088989,0.984579541587,0.422128796550826
1,2.52382937792078,1.33231064508262,0.980533708351101,0.411463356107382
1,2.83178313753655,1.29754530799961,0.97838104977085,0.399488284296639
1,3.17731293889713,1.25952511798407,0.976415150355054,0.386272493408708
1,3.56500375253498,1.21886824032615,0.973767203491026,0.372131709693606
1,4,1.17632634972436,0.971119912232355,0.357202858939421
1,4.48807381720786,1.13306403184057,0.968302806711579,0.34178509851416
1,5.03570164717666,1.09011304775168,0.966020301789389,0.32623103493457
1,5.65015017849102,1.04811766738119,0.964495186269759,0.311294751659471
1,6.33957276984444,1.00823530903248,0.962862822238849,0.297009426233081
1,7.11311764015569,0.971137826927887,0.960807439351144,0.283300110892956
1,7.98104925987553,0.93742458279613,0.958782853449873,0.270634038969705
1,8.95488455427335,0.907391573322334,0.957399579177049,0.25938343769841
1,10.0475457260383,0.881068690852689,0.956245633610781,0.249343218228616
1,11.2735317250578,0.858340994781111,0.955129718874939,0.240639882733584
1,12.6491106406735,0.838986188114139,0.954238957728902,0.233181284362352
1,14.192535569343,0.822799792214841,0.953487885275009,0.226763576266444
1,15.9242868221399,0.809247561537785,0.95296263066835,0.221503061649129
1,17.8673436860385,0.798087444379328,0.952607032497336,0.217251566773178
1,20.0474893450909,0.789199519115251,0.952498310630757,0.213556852603961
1,22.493653007614,0.78186336269614,0.952083507538775,0.210395925734531
1,25.2382937792078,0.776036340837078,0.95221207508335,0.208112540907944
1,28.3178313753655,0.771209904881673,0.952174690507324,0.206333162203858
1,31.7731293889713,0.767388929432389,0.951966111085144,0.204647388380787
1,35.6500375253498,0.764354179958074,0.951892598658122,0.203381667550546
1,40,0.761889569099808,0.951707608199728,0.202305343441279
1,44.8807381720786,0.75992177896537,0.951891026996444,0.2017774901023
1,50.3570164717666,0.758361838981087,0.951790460243948,0.201127164740519
1,56.5015017849102,0.756898540024391,0.951519170608116,0.200681119240621
1,63.3957276984444,0.755916999024105,0.951400214140815,0.200215044891605
1,71.1311764015569,0.755370217543892,0.95152793765946,0.199817341390094
1,79.8104925987553,0.754763859416014,0.951214317602507,0.199297056572044
1,89.5488455427335,0.754348401967344,0.951287648829567,0.199128840752265
1,100.475457260383,0.753972629646459,0.951503173868357,0.199212614430694
1,112.735317250578,0.753957124440029,0.951762235837939,0.199086058847291
1,126.491106406735,0.753727633751642,0.951739786654835,0.198983521922428
