"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
1.96999999999999,-0.187381314585787,-0.123253598629848,0.151943740516959,-0.0287982210214226,-0.000108079134311601
1.97999999999999,-0.125333233564368,-0.0758262453649556,0.093260888928847,-0.0175440315013515,-0.000109387937460095
1.98999999999999,-0.0627905195293773,-0.0281016351891084,0.0342055911245527,-0.00621422096814523,-0.000110265032700927
1.99999999999999,-6.26623480986677e-14,0.019731812154059,-0.0249889362944709,0.00514641718217771,-0.000110706958234189
2.00999999999999,0.0627905195292505,0.0674852480247485,-0.0840889289059634,0.0164929689100129,-0.00011071197120199
2.01999999999999,0.125333233564241,0.114970140087786,-0.142860996359254,0.0277805762211039,-0.000110280050364106
2.02999999999999,0.187381314585662,0.161999016380176,-0.201073044185141,0.0389646149036356,-0.000109412901329396
2.03999999999999,0.248689887164794,0.208386205929256,-0.258495189654825,0.0500008697795732,-0.000108113945995789
2.04999999999999,0.309016994374888,0.253948570106384,-0.314900668389708,0.0608457099723896,-0.000106388310934388
2.05999999999999,0.368124552684619,0.298506226613612,-0.370066730190075,0.0714562607700469,-0.000104242806416147
2.06999999999999,0.425779291565015,0.341883259208844,-0.423775517706054,0.0817905725976668,-0.000101685899543194
2.07999999999999,0.481753674101658,0.383908410890694,-0.475814925670444,0.0918077870982399,-9.87276815100774e-05
2.08999999999999,0.535826794978944,0.424415761357134,-0.525979438885644,0.101468297701335,-9.53798271750295e-05
2.09999999999999,0.587785252292422,0.463245380603657,-0.574070942844379,0.11073390669187,-9.16555488519877e-05
2.10999999999999,0.63742398974864,0.50024396068819,-0.619899505553562,0.119567975320557,-8.75695448149943e-05
2.11999999999999,0.684547105928641,0.535265420571246,-0.663284127292131,0.127935568780646,-8.31379402390087e-05
2.12999999999999,0.728968627421369,0.56817148279861,-0.704053454797386,0.135803593773519,-7.83782252570531e-05
2.13999999999999,0.77051324277575,0.598832218608719,-0.742046457078638,0.143140929286302,-7.33091836169764e-05
2.14999999999999,0.809016994374909,0.6271265616078,-0.777113061949101,0.14991854951996,-6.79508213410063e-05
2.15999999999999,0.84432792550198,0.65294278494096,-0.809114747344431,0.156109638118833,-6.23242846379823e-05
2.16999999999999,0.876306680043832,0.676178942314341,-0.837925088366598,0.161689694272661,-5.64517795960118e-05
2.17999999999999,0.904827052465992,0.696743270630536,-0.86343025639007,0.166636629277593,-5.03564819409885e-05
2.18999999999999,0.929776485888228,0.714554551670273,-0.885529467754184,0.170930853636849,-4.40624470618989e-05
2.19999999999999,0.951056516295134,0.729542432820567,-0.904135382021177,0.174555354685664,-3.75945149460877e-05
2.20999999999999,0.968583161128615,0.741647704949556,-0.919174446556723,0.177495763395975,-3.09782111919676e-05
2.21999999999999,0.982287250728677,0.75082253574262,-0.93058718634052,0.179740410950264,-2.42396476359263e-05
2.22999999999999,0.99211470131447,0.757030658637141,-0.93832843942199,0.181280375366531,-1.7405418317934e-05
2.23999999999999,0.998026728428268,0.760247515948671,-0.942367534608857,0.182109516165463,-1.05024947230081e-05
2.24999999999999,1,0.760460355702629,-0.942688412773032,0.182224498950725,-3.55811967789332e-06
2.25999999999999,0.998026728428276,0.757668281868485,-0.939289689654874,0.181624808087106,3.40030071696584e-06
2.26999999999999,0.992114701314486,0.751882258155509,-0.932184662195293,0.180312749344289,1.03453045050828e-05
2.27999999999999,0.982287250728701,0.743125064632788,-0.92140125555196,0.178293440402171,1.72494829990821e-05
2.28999999999999,0.968583161128647,0.731431207697997,-0.906981912725121,0.175574790615712,2.40855885879909e-05
2.29999999999999,0.951056516295174,0.716846784028261,-0.888983427483577,0.172167470097513,3.08266421970016e-05
2.30999999999999,0.929776485888275,0.69942929855562,-0.867476719837557,0.168084867321883,3.7446039945932e-05
2.31999999999999,0.904827052466047,0.679247437569021,-0.842546556250495,0.16334303633962,4.39176581459311e-05
2.32999999999999,0.876306680043894,0.656380797847822,-0.814291215481308,0.157960633589636,5.02159561499849e-05
2.33999999999999,0.844327925502049,0.63091957183949,-0.782822099793058,0.151958844031147,5.6316077579055e-05
2.34999999999999,0.809016994374984,0.602964192815942,-0.748263296505137,0.145361297636933,6.21939477380429e-05
2.35999999999999,0.770513242775829,0.572624937428964,-0.710751087235528,0.138193976176339,6.78263697749815e-05
2.36999999999999,0.728968627421455,0.540021490799903,-0.670433410235515,0.130485110550225,7.31911146130693e-05
2.37999999999999,0.684547105928735,0.505282474931917,-0.627469277344762,0.122265069423217,7.82670103720295e-05
2.38999999999999,0.637423989748739,0.468544939851559,-0.582028145358898,0.113566239531968,8.30340246289613e-05
2.39999999999999,0.587785252292524,0.429953823559142,-0.534289247755193,0.104422897540216,8.74733441649789e-05
2.40999999999999,0.53582679497905,0.389661380007376,-0.484440887549405,0.0948710749910834,9.15674490543777e-05
2.41999999999999,0.481753674101771,0.347826577652525,-0.432679693569385,0.0849484160985423,9.53001816822868e-05
2.42999999999999,0.425779291565132,0.30461447262266,-0.379209844934463,0.0746940291223858,9.8656810582784e-05
2.43999999999999,0.368124552684736,0.260195557392757,-0.324242265232412,0.064148331928282,0.000101624088627003
2.44999999999999,0.309016994375007,0.214745087173985,-0.267993789530325,0.0533528926619741,0.000104190305634105
2.45999999999999,0.248689887164916,0.168442388965302,-0.210686309292871,0.042350265660891,0.00010634533332201
2.46999999999999,0.187381314585789,0.121470153854845,-0.15254589641202,0.0311838232244255,0.000108080667250508
2.47999999999999,0.125333233564369,0.0740137153324563,-0.0938019107132976,0.0198975848393539,0.000109389458512601
2.48999999999999,0.0627905195293757,0.0262603184015699,-0.0346860951737735,0.00853604331446522,0.000110266542261617
2.49999999999999,6.45611696179827e-14,-0.0216016190681204,0.0245683386101453,-0.00285601108540131,0.00011070845662359
2.50999999999999,-0.0627905195292486,-0.0693832510560879,0.0837276314677666,-0.0142336669538411,0.000110713457837594
2.51999999999999,-0.12533323356424,-0.116896047618834,0.14255839839311,-0.0255520692481645,0.000110281526111491
2.52999999999999,-0.187381314585664,-0.163952539104879,0.200828550115344,-0.0367665966445542,0.000109414365910804
2.53999999999999,-0.248689887164793,-0.210367056591332,0.258308208754977,-0.0478330367641936,0.000108115399451401
2.54999999999999,-0.309016994374888,-0.255956464494129,0.314770615692449,-0.0587077614449069,0.000106389753413108
