"Freq [MHz]","load_sweep []","re(Current(s1)) [A]","re(Current(s2)) [A]","re(Current(s3)) [A]"
1,1.4192535569343e-07,-1.52913708679799,-0.993809342090217,-0.47554229898042
1,1.59242868221399e-07,-1.52913708677719,-0.9938093421014,-0.475542298977631
1,1.78673436860385e-07,-1.52913708675386,-0.993809342113936,-0.475542298974494
1,2.00474893450909e-07,-1.52913708672768,-0.993809342128025,-0.475542298970992
1,2.2493653007614e-07,-1.5291370866983,-0.993809342143823,-0.475542298967054
1,2.52382937792077e-07,-1.52913708666533,-0.993809342161547,-0.475542298962634
1,2.83178313753655e-07,-1.52913708662835,-0.993809342181432,-0.475542298957676
1,3.17731293889713e-07,-1.52913708658685,-0.993809342203744,-0.475542298952112
1,3.56500375253498e-07,-1.52913708654029,-0.99380934222878,-0.475542298945869
1,4e-07,-1.52913708648805,-0.993809342256868,-0.475542298938864
1,4.48807381720785e-07,-1.52913708642943,-0.993809342288387,-0.475542298931004
1,5.03570164717667e-07,-1.52913708636366,-0.993809342323749,-0.475542298922184
1,5.65015017849102e-07,-1.52913708628986,-0.993809342363426,-0.475542298912289
1,6.33957276984446e-07,-1.52913708620705,-0.993809342407946,-0.475542298901185
1,7.11311764015569e-07,-1.52913708611414,-0.993809342457898,-0.475542298888726
1,7.98104925987552e-07,-1.52913708600989,-0.993809342513932,-0.475542298874738
1,8.95488455427336e-07,-1.52913708589291,-0.993809342576828,-0.475542298859059
1,1.00475457260383e-06,-1.52913708576166,-0.993809342647386,-0.475542298841458
1,1.12735317250578e-06,-1.52913708561439,-0.993809342726554,-0.475542298821707
1,1.26491106406735e-06,-1.52913708544914,-0.99380934281538,-0.475542298799544
1,1.4192535569343e-06,-1.52913708526372,-0.993809342915047,-0.475542298774675
1,1.59242868221399e-06,-1.52913708505567,-0.993809343026872,-0.475542298746769
1,1.78673436860385e-06,-1.52913708482222,-0.993809343152343,-0.475542298715453
1,2.00474893450909e-06,-1.52913708456027,-0.993809343293123,-0.475542298680313
1,2.2493653007614e-06,-1.52913708426634,-0.993809343451081,-0.475542298640879
1,2.52382937792077e-06,-1.52913708393652,-0.993809343628313,-0.475542298596626
1,2.83178313753655e-06,-1.52913708356643,-0.993809343827169,-0.475542298546965
1,3.17731293889713e-06,-1.52913708315115,-0.993809344050275,-0.475542298491224
1,3.56500375253498e-06,-1.52913708268513,-0.993809344300632,-0.475542298428686
1,4e-06,-1.52913708216221,-0.993809344581521,-0.47554229835849
1,4.48807381720785e-06,-1.5291370815754,-0.993809344896682,-0.475542298279707
1,5.03570164717667e-06,-1.52913708091689,-0.993809345250295,-0.475542298191282
1,5.65015017849102e-06,-1.52913708017792,-0.993809345647057,-0.475542298092033
1,6.33957276984446e-06,-1.52913707934863,-0.993809346092226,-0.475542297980628
