"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
0.790000000000001,-0.96858316112863,0.00871914597897283,0.93373353647039,0.046022398636258,0.988475081085621
0.800000000000001,-0.951056516295152,-0.0627014232938022,0.914378685312724,0.0247121237738318,0.876389385792754
0.810000000000001,-0.929776485888249,-0.133833073449276,0.891408454271083,0.00333202505096358,0.760907405872771
0.820000000000001,-0.904827052466017,-0.204397820504897,0.864913229726442,-0.0180344600208566,0.642480949200688
0.830000000000001,-0.876306680043861,-0.274119740340867,0.834997332292936,-0.0393038968468795,0.521573695105189
0.840000000000001,-0.844327925502012,-0.342726069172957,0.801778604274637,-0.0603931863498348,0.398659348751845
0.850000000000001,-0.809016994374944,-0.409948291552349,0.7653879437727,-0.0812198961466896,0.274219756073661
0.860000000000001,-0.770513242775786,-0.475523210244963,0.725968787263702,-0.101702588522193,0.148742988496546
0.870000000000001,-0.728968627421407,-0.539193994422832,0.683676542751657,-0.121761144712124,0.022721403616701
0.880000000000001,-0.684547105928684,-0.600711202489439,0.638677975753451,-0.141317083557626,-0.103350310293614
0.890000000000001,-0.637423989748685,-0.659833774880734,0.591150550317933,-0.160293873540561,-0.228977098103362
0.900000000000001,-0.587785252292468,-0.716329993191893,0.541281728082238,-0.178617237059067,-0.353665502168722
0.910000000000001,-0.535826794978992,-0.769978402089051,0.489268227639548,-0.196215445605396,-0.476925620054899
0.920000000000001,-0.48175367410171,-0.820568690126268,0.435315247565298,-0.213019604775108,-0.598273047336078
0.930000000000001,-0.425779291565067,-0.867902526071472,0.379635655975907,-0.228963927896378,-0.717230797991943
0.940000000000001,-0.368124552684673,-0.911794347799331,0.322449149748488,-0.243985997378004,-0.833331195428847
0.950000000000001,-0.309016994374942,-0.952072099955372,0.263981386895497,-0.25802701263017,-0.946117725690045
0.960000000000001,-0.248689887164849,-0.98857791841997,0.204463095398779,-0.27103202344216,-1.05514684646335
0.970000000000001,-0.187381314585719,-1.02116875787815,0.14412916209928,-0.282950148382556,-1.15998974416143
0.980000000000001,-0.125333233564299,-1.04971696153862,0.0832177049666843,-0.293734776758229,-1.26023403333016
0.99,-0.0627905195293133,-1.07411076806979,0.0219691333040832,-0.303343753705424,-1.35548538847113
1,-1.1331077795296e-15,-1.09425475780747,-0.0393748021571714,-0.311739547876592,-1.44536910784123
1.01,0.0627905195293137,-1.11007023231906,-0.10057196348982,-0.318889400296235,-1.52953159610512
